sc_JavaScript,sc_Java,sc_C++,sc_Objective-C,sc_Ruby,sc_D,sc_Python,sc_Haskell,sc_C#,sc_PHP,concat(payload_pull_request_head_repo_language:freq_in),user,cluster
0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Java:MEDIUM,AravAlexander,cluster_1
49.0,924.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Java:HIGH,ArcBees,cluster_5
0.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Java:HIGH,ArcaneSanity,cluster_1
0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TypeScript:MEDIUM|C++:HIGH,ArchZombie,cluster_1
0.0,229.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Java:HIGH,Arcticwolf,cluster_2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,0.0,C#:MEDIUM,Arctium,cluster_1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ColdFusion:MEDIUM,ArgoPost,cluster_1
0.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,Ruby:MEDIUM,Ariel-Thomas,cluster_7
0.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Java:SMALL,ArizonaPampa,cluster_1
50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,JavaScript:MEDIUM,ArkahnX,cluster_3
0.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Java:MEDIUM,Arkants,cluster_1
0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,Ruby:MEDIUM,Arkham,cluster_7
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C++:MEDIUM|C:MEDIUM,Arkkis,cluster_1
0.0,0.0,0.0,0.0,0.0,0.0,484.0,0.0,0.0,0.0,Python:HIGH,Arpaso,cluster_1
0.0,0.0,0.0,0.0,0.0,0.0,51.0,0.0,0.0,0.0,Python:MEDIUM|C++:SMALL,Arreth,cluster_1
0.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Java:HIGH,ArtForz,cluster_1
